Model,R2,MAE,MSE,RMSE
XGBoost,0.9220587578491651,2.3895532096594514,40.000810337301374,6.324619382800942
Linear Regression,0.8541235161321564,4.489865393174193,74.86636603221635,8.652535237271001
Ridge,0.8540807447869607,4.488741492740124,74.8883170355598,8.653803616650876
Bayesian Ridge,0.8540617192738177,4.488879025178528,74.89808126206945,8.654367756345316
Lasso,0.806243124872294,5.323877366352576,99.4394212826711,9.971931672583358
ElasticNet,0.7490389985360877,6.840308267224629,128.79758064658503,11.348902178034008
LightGBM,0.9283490151053979,2.333960021535081,36.772540161770074,6.064036622726653
CatBoost,0.9294339740529552,2.2786773887790246,36.215720230660814,6.01794983617019
